"","variable","biome","loc","type","seasonal_sd","seasonal_range","spatial_sd","spatial_range","total_area_km2","mean","areaW_mean","sd","min","max","se"
"46","sfco2","NA_STPS","NA","STPS",13.8109223055863,34.8567533289154,7.45685589602213,41.5851458231608,2132423651.36161,363.901820809104,364.079730030111,17.859220907352,322.144897460938,420.022888183594,0.0413301603188208
"47","sfco2","NA_STSS","NA","STSS",9.60658320419113,30.8945599626466,5.1779274292735,33.2506113688152,724326005.550699,350.139408917824,350.346328250746,15.7660042487619,306.085235595703,426.680633544922,0.0568906674816717
"48","sfco2","NP_SPSS","NP","SPSS",17.6642107435823,46.9203499681697,16.8543889766136,104.038969039917,1554693028.2979,357.677405786672,357.391409133333,37.2156551915621,201.048721313477,589.483520507812,0.0852530248735521
"49","sfco2","NP_STPS","NP","STPS",11.5986584053086,30.6353737745518,8.67850761133314,60.2730557759603,5013758235.04182,359.590511430799,359.721352693875,18.7257770629241,301.548553466797,469.114898681641,0.0286098194821131
"50","sfco2","NP_STSS","NP","STSS",20.0205423734652,55.6720872990131,9.29930457622493,56.0266866048177,832994544.38415,341.325391556738,341.269834957601,24.4545224841892,278.473449707031,428.271942138672,0.0853572693159148
"51","sfco2","Pac_EQU_E","Pac","EQU",6.17102524836373,17.6827341456682,33.3064466248378,119.791139221191,1816743239.09272,419.985777993698,420.016823640611,37.0641097639916,319.02587890625,521.375,0.0973082808424915
"52","sfco2","Pac_EQU_W","Pac","EQU",1.63246979426292,5.07755086709557,9.72627426838815,43.1910552978516,1395370604.28529,368.525413106883,368.557072557793,13.1383019345935,339.066711425781,436.055236816406,0.0392862575174307
"53","sfco2","SA_STPS","SA","STPS",13.3740044512068,36.0070116981087,14.050608459682,62.7625353495281,2207132827.37751,367.753921007135,368.571099758716,21.0457770014598,303.496063232422,446.476715087891,0.0479553232716574
"54","sfco2","SO_SPSS","SO","SPSS",6.28748157110593,18.4465157032348,4.74853180939332,61.5647327423096,3723278590.75838,363.38586605107,363.427359158295,11.1022955440566,248.178634643555,419.980590820312,0.0154002605743934
"55","sfco2","SO_STSS","SO","STSS",5.84531764973495,15.7868726887322,10.6860804787682,90.2773489634196,3570312437.46035,343.86922778893,343.464144005706,15.3964246119331,239.318740844727,450.832794189453,0.0245935468470286
"56","sfco2","SP_STPS","SP","STPS",10.8704643464502,28.282217793155,22.6887169848306,123.213072713216,6431304732.64443,360.839024501215,361.704832308815,27.044701378883,309.212982177734,490.762939453125,0.0354759744040428
"57","ph_total","Atl_EQU","Atl","EQU",0.00322709439031959,0.00903454982157825,0.0114701226148742,0.0446515520413708,900923427.328359,8.06550385358599,8.06549598245596,0.0138171453347514,7.9922022819519,8.11732864379883,5.14934603724971e-05
"58","ph_total","IND_STPS","IND","STPS",0.00860190264502683,0.0208830425386353,0.0175149780684789,0.068970290819804,4389596574.79992,8.08532218995317,8.08429311832834,0.0216784722969552,8.03469276428223,8.14304161071777,3.54461972276043e-05
"59","ph_total","NA_SPSS","NA","SPSS",0.0250032367615554,0.066130050567855,0.027176077219066,0.192669892311097,1203358189.28354,8.12440044632099,8.11872287074111,0.0462158797536343,7.80192899703979,8.3309907913208,0.000102143583030603
"60","ph_total","NA_STPS","NA","STPS",0.0136802016206987,0.0344060535022326,0.00886886242371892,0.04391303062439,2132423651.36161,8.08854292780289,8.08822292033654,0.0182863448341165,8.03983306884766,8.133225440979,4.23186189117661e-05
"61","ph_total","NA_STSS","NA","STSS",0.0110841184917184,0.0346784519969479,0.00470635155204,0.0365999380747475,724326005.550699,8.1020952116698,8.10190075793011,0.016555962871749,8.02765274047852,8.15205383300781,5.97411851293609e-05
"62","ph_total","NP_SPSS","NP","SPSS",0.0151015050398125,0.044979267935453,0.0174560597886411,0.133531626065572,1543172092.97829,8.0914715094482,8.09145513125074,0.0378957601470573,7.90859937667847,8.32592868804932,8.71685297419425e-05
"63","ph_total","NP_STPS","NP","STPS",0.0117671679351586,0.0310060101067453,0.0102167455526178,0.0589632908503201,5013758235.04182,8.07994881776646,8.0797025063613,0.0196032922160483,7.9854588508606,8.14541244506836,2.99505141854272e-05
"64","ph_total","NP_STSS","NP","STSS",0.0230019588642265,0.0629781794611013,0.0106285508850747,0.0608917236328139,831740386.881791,8.10086899701999,8.10089920821497,0.0272959289994138,8.01421642303467,8.18634128570557,9.53447764820081e-05
"65","ph_total","Pac_EQU_E","Pac","EQU",0.00538166356277693,0.0156320444862335,0.025726589973934,0.0909677823384607,1816743239.09272,8.02664609902287,8.026622164215,0.0291058445406913,7.94099950790405,8.11848640441895,7.64146154530078e-05
"66","ph_total","Pac_EQU_W","Pac","EQU",0.00151887150142602,0.00476338411716526,0.0076881308409089,0.0396775245666525,1393863611.44212,8.070224035499,8.07019094032242,0.0108592963238022,8.01282787322998,8.10048866271973,3.2488990760873e-05
"67","ph_total","SA_STPS","SA","STPS",0.0132796534620625,0.03552593492984,0.0128797647582571,0.0610434452692665,2207132827.37751,8.08454533864157,8.08382289459107,0.0201739320216451,8.00797843933105,8.1466178894043,4.59687200758295e-05
"68","ph_total","SO_SPSS","SO","SPSS",0.00549198328090363,0.0168683529211737,0.00709454125768493,0.0451294501622517,3720886911.45829,8.0993696114404,8.09892576151647,0.012407166999625,8.06039524078369,8.2353515625,1.72162427960673e-05
