id,month,period,seas_mean_delta,seas_areaW_mean_delta,seas_sd_delta,seas_min_delta,seas_max_delta,seas_se_delta,n,scenario,var,biome,loc,type,seas_mean_abs,seas_areaW_mean_abs,seas_sd_abs,seas_min_abs,seas_max_abs,seas_se_abs
ssp245_aqueous_NA_STPS,12,1850s,-2.240360938,-2.235041566,0.1547256,-3.100573619,-1.799189361,0.00178341,7527,ssp245,aqueous,NA_STPS,NA,STPS,8.266220705,8.247172939,0.552254639,7.404373517,10.52213212,0.00636544
ssp245_aqueous_NA_STPS,2,1850s,-2.224188772,-2.218928103,0.155981916,-3.089444524,-1.58311832,0.001797891,7527,ssp245,aqueous,NA_STPS,NA,STPS,8.320029472,8.296961672,0.599796495,7.410421709,10.79153414,0.00691342
ssp245_aqueous_NA_STPS,3,1850s,-2.223060732,-2.21796853,0.159721365,-3.138465387,-1.714420775,0.001840993,7527,ssp245,aqueous,NA_STPS,NA,STPS,8.325020645,8.302445855,0.594361591,7.397945663,10.67778033,0.006850776
ssp245_aqueous_NA_STPS,4,1850s,-2.227432087,-2.22222196,0.168265866,-3.194201421,-1.796130789,0.001939479,7527,ssp245,aqueous,NA_STPS,NA,STPS,8.308231641,8.289430875,0.556080983,7.403262219,10.58082916,0.006409543
ssp245_aqueous_NA_STPS,5,1850s,-2.26233556,-2.256017057,0.188603612,-3.239782154,-1.794397075,0.002173897,7527,ssp245,aqueous,NA_STPS,NA,STPS,8.340035418,8.322964499,0.561274611,7.460766435,10.7631886,0.006469406
ssp245_aqueous_NA_STPS,6,1850s,-2.300757886,-2.292702239,0.210751728,-3.292793754,-1.793198548,0.002429183,7527,ssp245,aqueous,NA_STPS,NA,STPS,8.437218062,8.416366949,0.606465926,7.542234112,10.94169418,0.006990294
ssp245_aqueous_NA_STPS,7,1850s,-2.324104554,-2.315273683,0.212386464,-3.248504801,-1.785107528,0.002448025,7527,ssp245,aqueous,NA_STPS,NA,STPS,8.505899911,8.481327871,0.642971185,7.218949287,11.16433274,0.007411064
ssp245_aqueous_NA_STPS,8,1850s,-2.321994248,-2.313732955,0.196451249,-3.201351009,-1.758667447,0.002264351,7527,ssp245,aqueous,NA_STPS,NA,STPS,8.513521269,8.488264066,0.647947214,7.012642777,11.27194808,0.007468419
ssp245_aqueous_NA_STPS,9,1850s,-2.297283489,-2.290582779,0.171916514,-3.119116788,-1.600242203,0.001981557,7527,ssp245,aqueous,NA_STPS,NA,STPS,8.475137373,8.451333365,0.634437198,7.158868779,11.1077949,0.007312699
ssp245_aqueous_NA_STPS,1,2090s,5.598016607,5.576157084,0.495509546,4.795213764,7.490102583,0.00571138,7527,ssp245,aqueous,NA_STPS,NA,STPS,16.10017357,16.05162784,1.09984361,14.5119915,20.25482656,0.012677102
ssp245_aqueous_NA_STPS,10,2090s,5.53423157,5.514251954,0.467920367,4.693458803,7.673560929,0.00539338,7527,ssp245,aqueous,NA_STPS,NA,STPS,16.18203548,16.13572478,1.078147528,14.27648862,20.36125387,0.012427027
ssp245_aqueous_NA_STPS,11,2090s,5.505176968,5.485551059,0.464704234,4.730644117,7.431940865,0.00535631,7527,ssp245,aqueous,NA_STPS,NA,STPS,16.04388042,16.00045024,1.039755221,14.41303895,20.23933361,0.011984506
ssp245_aqueous_NA_STPS,12,2090s,5.523723817,5.503289015,0.473825602,4.730495332,7.556654216,0.005461445,7527,ssp245,aqueous,NA_STPS,NA,STPS,16.03030546,15.98550352,1.04589913,14.47095103,20.22636304,0.012055323
ssp245_aqueous_NA_STPS,2,2090s,5.672923798,5.64834109,0.545335159,4.855908867,7.749986089,0.006285684,7527,ssp245,aqueous,NA_STPS,NA,STPS,16.21714204,16.16423087,1.168781757,14.61442938,20.50555954,0.013471702
